EmployeeNumber,Department,JobRole,MonthlyIncome,OverTime,YearsAtCompany,JobSatisfaction,WorkLifeBalance,Churn_Probability,Risk_Tier,Replacement_Cost,Attrition
76,Research & Development,Laboratory Technician,5915,No,7,4,2,0.06320955008980307, Low Risk,35490,No
77,Research & Development,Manufacturing Director,5993,No,7,3,4,0.061185772793359995, Low Risk,35958,No
78,Research & Development,Manufacturing Director,6162,Yes,9,4,3,0.09738957825676459, Low Risk,36972,No
79,Research & Development,Laboratory Technician,2406,No,10,4,3,0.1055204067065945, Low Risk,14436,No
80,Research & Development,Research Director,18740,Yes,27,3,2,0.04123492996821665, Low Risk,112440,No
81,Sales,Sales Executive,7637,No,21,1,2,0.12300234247896251, Low Risk,45822,No
83,Research & Development,Healthcare Representative,10096,No,17,3,3,0.039159153659968214, Low Risk,60576,No
84,Research & Development,Manager,14756,Yes,5,3,3,0.039137304002342464, Low Risk,88536,No
85,Research & Development,Manufacturing Director,6499,No,6,2,3,0.13874494169458798, Low Risk,38994,No
86,Research & Development,Research Scientist,9724,No,1,1,3,0.08028653092711219, Low Risk,58344,No
88,Research & Development,Research Scientist,2194,No,3,1,2,0.07763180516296106, Low Risk,13164,No
90,Research & Development,Research Scientist,3388,Yes,1,3,2,0.26441806163075054, Low Risk,20328,Yes
91,Sales,Sales Executive,5473,No,4,3,2,0.19905382792541018, Low Risk,32838,No
94,Research & Development,Research Scientist,2703,No,5,2,3,0.05270744446365084, Low Risk,16218,No
95,Research & Development,Research Scientist,2501,No,1,2,3,0.21904576888092808, Low Risk,15006,No
96,Research & Development,Research Scientist,6220,No,10,2,3,0.052107601141900065, Low Risk,37320,No
97,Research & Development,Laboratory Technician,3038,No,1,4,3,0.1186552688003378, Low Risk,18228,No
98,Research & Development,Manufacturing Director,4424,No,11,4,3,0.10002935741584075, Low Risk,26544,No
100,Sales,Sales Executive,4312,No,15,1,3,0.10160535832232515, Low Risk,25872,No
101,Research & Development,Research Director,13245,Yes,0,1,4,0.09125008032435016, Low Risk,79470,No
102,Research & Development,Research Director,13664,No,5,3,4,0.10951133215413318, Low Risk,81984,No
103,Human Resources,Human Resources,5021,Yes,4,2,3,0.0697868134440002, Low Risk,30126,No
104,Research & Development,Laboratory Technician,5126,Yes,10,4,2,0.06909929129965453, Low Risk,30756,No
105,Research & Development,Research Scientist,2859,No,6,3,3,0.10087115767838217, Low Risk,17154,No
106,Sales,Sales Executive,10239,No,1,4,3,0.1424194263816882, Low Risk,61434,No
107,Research & Development,Research Scientist,5329,Yes,13,4,3,0.06918530955811274, Low Risk,31974,No
110,Research & Development,Manufacturing Director,4325,No,5,2,3,0.11993898096566075, Low Risk,25950,No
112,Research & Development,Manufacturing Director,7260,No,6,4,2,0.12668664471366692, Low Risk,43560,No
113,Sales,Sales Representative,2322,No,0,1,3,0.25829640792013303, Low Risk,13932,No
116,Research & Development,Laboratory Technician,2075,No,4,4,3,0.08217360485424993, Low Risk,12450,No
117,Research & Development,Healthcare Representative,4152,No,11,4,3,0.049249461126298764, Low Risk,24912,No
118,Sales,Sales Executive,9619,No,9,4,3,0.5422117563507013, Medium Risk,57714,Yes
119,Research & Development,Healthcare Representative,13503,No,22,2,2,0.0264042817384378, Low Risk,81018,No
120,Sales,Sales Executive,5441,Yes,10,4,1,0.21326614069932745, Low Risk,32646,No
121,Sales,Sales Executive,5209,Yes,11,2,2,0.0449468552684805, Low Risk,31254,No
124,Research & Development,Healthcare Representative,10673,Yes,10,1,2,0.053225002534733855, Low Risk,64038,No
125,Sales,Sales Executive,5010,No,11,3,3,0.13924548483742905, Low Risk,30060,No
126,Research & Development,Research Director,13549,No,4,3,1,0.059756188816049584, Low Risk,81294,No
128,Sales,Sales Executive,4999,No,3,3,2,0.09422983259291097, Low Risk,29994,No
129,Sales,Sales Executive,4221,No,5,3,4,0.12364336886743364, Low Risk,25326,No
131,Sales,Sales Executive,13872,No,37,3,2,0.14186431572778593, Low Risk,83232,No
132,Research & Development,Laboratory Technician,2042,No,3,2,4,0.07605042087462213, Low Risk,12252,No
133,Human Resources,Human Resources,2073,Yes,3,1,3,0.7157607493755245, High Risk,12438,Yes
134,Research & Development,Research Scientist,2956,No,1,1,3,0.24901907591174827, Low Risk,17736,No
137,Research & Development,Laboratory Technician,2926,Yes,1,4,3,0.8348955360128208, High Risk,17556,Yes
138,Research & Development,Research Scientist,4809,No,16,3,3,0.05586456392037083, Low Risk,28854,No
139,Research & Development,Healthcare Representative,5163,No,1,4,4,0.16829741868826847, Low Risk,30978,No
140,Human Resources,Manager,18844,No,3,4,3,0.048592418191675854, Low Risk,113064,No
141,Research & Development,Research Director,18172,Yes,8,2,2,0.09168270971295454, Low Risk,109032,No
142,Sales,Sales Executive,5744,Yes,6,3,3,0.7077973025922958, High Risk,34464,Yes
143,Research & Development,Research Scientist,2889,No,2,4,3,0.10320938097142776, Low Risk,17334,No
144,Research & Development,Laboratory Technician,2871,No,0,4,3,0.6022749118551578, High Risk,17226,No
145,Research & Development,Healthcare Representative,7484,No,13,1,2,0.07464821619084751, Low Risk,44904,No
147,Research & Development,Laboratory Technician,6074,Yes,9,3,3,0.657810117649575, High Risk,36444,Yes
148,Human Resources,Manager,17328,Yes,5,4,3,0.07669543243644027, Low Risk,103968,No
150,Research & Development,Laboratory Technician,2774,No,5,3,3,0.10692757266047458, Low Risk,16644,No
151,Research & Development,Research Scientist,4505,No,1,2,3,0.13179364368878757, Low Risk,27030,No
152,Sales,Sales Executive,7428,No,5,4,3,0.09493562914618987, Low Risk,44568,No
153,Research & Development,Manager,11631,No,11,1,3,0.040144544697207137, Low Risk,69786,No
154,Sales,Sales Executive,9738,No,9,4,3,0.10894401272414653, Low Risk,58428,No
155,Research & Development,Laboratory Technician,2835,No,1,4,3,0.18481441386442335, Low Risk,17010,No
158,Sales,Manager,16959,Yes,25,4,4,0.07317428086334209, Low Risk,101754,No
159,Research & Development,Research Scientist,2613,No,10,3,2,0.09308927481536529, Low Risk,15678,No
160,Sales,Sales Executive,6146,No,7,2,4,0.05841916448621176, Low Risk,36876,No
161,Research & Development,Research Scientist,4963,Yes,5,2,3,0.2088205752069946, Low Risk,29778,Yes
162,Research & Development,Research Director,19537,No,20,3,3,0.15100220507121903, Low Risk,117222,No
163,Sales,Sales Executive,6172,Yes,7,3,2,0.7196627650117873, High Risk,37032,Yes
164,Research & Development,Research Scientist,2368,No,5,2,2,0.15288813932297227, Low Risk,14208,No
165,Research & Development,Healthcare Representative,10312,No,40,4,2,0.1755653089427322, Low Risk,61872,Yes
167,Sales,Sales Representative,1675,Yes,0,3,2,0.8907366054615011, High Risk,10050,Yes
169,Research & Development,Laboratory Technician,2523,No,2,4,3,0.11153888591748468, Low Risk,15138,No
170,Research & Development,Manufacturing Director,6567,No,15,1,2,0.10313949583307239, Low Risk,39402,No
171,Research & Development,Research Scientist,4739,No,3,3,3,0.15083735606035195, Low Risk,28434,No
174,Sales,Sales Executive,9208,No,2,4,3,0.10239524362561941, Low Risk,55248,No
175,Sales,Sales Executive,4559,Yes,2,3,3,0.42166336843951313, Medium Risk,27354,Yes
176,Sales,Sales Executive,8189,Yes,9,3,3,0.09180819262202791, Low Risk,49134,No
177,Human Resources,Human Resources,2942,No,8,3,3,0.10752257192378568, Low Risk,17652,No
178,Research & Development,Manufacturing Director,4941,No,3,2,3,0.12891822884188692, Low Risk,29646,No
179,Research & Development,Manufacturing Director,10650,No,4,4,3,0.13906989585335566, Low Risk,63900,Yes
182,Sales,Sales Executive,5902,No,15,3,4,0.09651133411054628, Low Risk,35412,No
183,Sales,Sales Executive,8639,No,2,3,3,0.21912619652597537, Low Risk,51834,No
184,Human Resources,Human Resources,6347,Yes,11,4,1,0.08829296011093049, Low Risk,38082,No
190,Research & Development,Laboratory Technician,4200,No,5,1,4,0.7259507256491701, High Risk,25200,Yes
192,Research & Development,Research Scientist,3452,No,6,4,2,0.15128123514839092, Low Risk,20712,No
193,Research & Development,Research Scientist,4317,Yes,3,3,3,0.10236825582654614, Low Risk,25902,No
194,Research & Development,Research Scientist,2632,No,5,3,2,0.24348205573272505, Low Risk,15792,No
195,Sales,Sales Executive,4668,No,8,4,4,0.10749201690343693, Low Risk,28008,No
197,Research & Development,Research Scientist,3204,No,3,1,3,0.12216476740268173, Low Risk,19224,No
198,Research & Development,Laboratory Technician,2720,No,5,4,3,0.08029825618309573, Low Risk,16320,No
199,Research & Development,Manager,17181,No,7,1,2,0.04208713324505884, Low Risk,103086,No
200,Research & Development,Laboratory Technician,2238,No,5,1,3,0.11474495468601009, Low Risk,13428,No
201,Research & Development,Laboratory Technician,1483,No,1,2,3,0.4634490165587893, Medium Risk,8898,No
202,Research & Development,Research Scientist,5605,No,20,2,3,0.057329699781108315, Low Risk,33630,No
204,Sales,Sales Executive,7295,No,10,2,3,0.10744659527152013, Low Risk,43770,No
205,Sales,Sales Representative,2306,Yes,7,3,1,0.13145857755763427, Low Risk,13836,No
206,Research & Development,Laboratory Technician,2348,No,17,2,1,0.09811811861119914, Low Risk,14088,No
207,Sales,Sales Executive,8998,No,9,4,3,0.0993303318310988, Low Risk,53988,No
208,Research & Development,Manufacturing Director,4319,No,10,3,3,0.09944808537866166, Low Risk,25914,No
211,Research & Development,Manufacturing Director,6132,No,1,3,3,0.1409773977643143, Low Risk,36792,No
214,Research & Development,Research Scientist,3346,Yes,1,2,2,0.1691535546889993, Low Risk,20076,No
215,Sales,Sales Executive,10855,No,12,4,2,0.07639685395262, Low Risk,65130,No
216,Sales,Sales Representative,2231,No,4,3,3,0.149766372830784, Low Risk,13386,No
217,Research & Development,Research Scientist,2323,No,2,4,3,0.19122904004170307, Low Risk,13938,No
218,Research & Development,Research Scientist,2024,No,2,2,1,0.11140458721914243, Low Risk,12144,No
221,Research & Development,Research Scientist,2713,No,5,4,1,0.13973520312945997, Low Risk,16278,No
223,Research & Development,Healthcare Representative,9439,Yes,5,4,1,0.0793857094925912, Low Risk,56634,No
224,Research & Development,Research Scientist,2566,Yes,1,3,2,0.21537714379296255, Low Risk,15396,No
226,Research & Development,Manager,19926,No,5,2,3,0.06241614689642933, Low Risk,119556,No
227,Research & Development,Research Scientist,2451,No,9,3,3,0.084333856170788, Low Risk,14706,No
228,Sales,Sales Executive,9419,No,10,4,3,0.09249520664626872, Low Risk,56514,No
230,Sales,Sales Executive,8686,No,8,4,4,0.18955081747819477, Low Risk,52116,No
231,Research & Development,Research Scientist,3038,No,5,3,3,0.21852823446773695, Low Risk,18228,No
233,Research & Development,Research Scientist,3058,Yes,5,2,2,0.2175896128697497, Low Risk,18348,No
235,Sales,Sales Representative,2325,No,0,1,4,0.7563684837500467, High Risk,13950,Yes
238,Research & Development,Laboratory Technician,2088,No,8,2,2,0.14022020460692577, Low Risk,12528,No
239,Research & Development,Laboratory Technician,3072,No,12,1,3,0.11454036904212199, Low Risk,18432,No
240,Sales,Sales Executive,5006,Yes,5,1,4,0.12349121588032518, Low Risk,30036,No
241,Research & Development,Research Scientist,4257,Yes,2,1,3,0.08709273465565531, Low Risk,25542,No
242,Research & Development,Research Scientist,2500,No,3,4,4,0.12079080095980457, Low Risk,15000,No
243,Research & Development,Laboratory Technician,1102,No,1,4,2,0.8160251360017903, High Risk,6612,Yes
244,Sales,Sales Executive,10453,No,24,1,3,0.1585716563874625, Low Risk,62718,No
245,Research & Development,Laboratory Technician,2288,No,2,4,3,0.24140135938712548, Low Risk,13728,No
246,Research & Development,Research Scientist,3929,Yes,4,4,3,0.24457545054177912, Low Risk,23574,No
247,Research & Development,Research Scientist,2311,No,3,2,3,0.1597114187397703, Low Risk,13866,No
248,Sales,Sales Representative,3140,Yes,4,2,2,0.40533695458226693, Medium Risk,18840,Yes
249,Research & Development,Laboratory Technician,3690,No,3,3,2,0.08930132231966756, Low Risk,22140,No
250,Research & Development,Manufacturing Director,4450,No,4,1,3,0.043566545625034835, Low Risk,26700,No
252,Research & Development,Research Scientist,2756,No,8,2,3,0.08502086765857847, Low Risk,16536,No
253,Research & Development,Manager,19033,No,20,3,3,0.02423343958998092, Low Risk,114198,No
254,Research & Development,Research Director,18722,No,24,2,3,0.06505312591805447, Low Risk,112332,No
256,Research & Development,Manufacturing Director,9547,No,10,3,2,0.05863542184395402, Low Risk,57282,No
258,Research & Development,Healthcare Representative,13734,No,7,2,3,0.07252904812490565, Low Risk,82404,No
259,Research & Development,Manager,19999,No,33,3,3,0.1357392925943359, Low Risk,119994,No
260,Research & Development,Research Scientist,2279,No,7,2,2,0.18899647570055264, Low Risk,13674,No
261,Research & Development,Manufacturing Director,5916,Yes,1,3,3,0.7426998164911531, High Risk,35496,Yes
262,Research & Development,Research Scientist,2089,No,5,4,4,0.04523587377341881, Low Risk,12534,No
264,Research & Development,Manager,16792,No,20,4,3,0.04244550828043183, Low Risk,100752,No
267,Research & Development,Research Scientist,3564,Yes,8,1,2,0.17483278453980622, Low Risk,21384,No
269,Research & Development,Laboratory Technician,4425,No,6,2,3,0.17513673163010535, Low Risk,26550,No
270,Research & Development,Manufacturing Director,5265,No,5,3,3,0.024314704237769123, Low Risk,31590,No
271,Research & Development,Manufacturing Director,6553,No,1,3,3,0.0844610222461627, Low Risk,39318,No
273,Research & Development,Manufacturing Director,6261,No,7,4,1,0.10959317831006679, Low Risk,37566,No
274,Research & Development,Manufacturing Director,4298,No,2,1,3,0.14816080285313188, Low Risk,25788,No
275,Research & Development,Manufacturing Director,6804,Yes,7,4,3,0.09582223888696659, Low Risk,40824,No
277,Research & Development,Research Scientist,3815,Yes,5,3,4,0.1887375031518828, Low Risk,22890,No
281,Research & Development,Laboratory Technician,2741,Yes,7,4,4,0.13179867661852507, Low Risk,16446,No
282,Research & Development,Healthcare Representative,6673,Yes,1,1,3,0.640504737489136, High Risk,40038,Yes
283,Sales,Sales Executive,7639,No,10,4,2,0.5371640948425543, Medium Risk,45834,Yes
284,Research & Development,Research Scientist,2328,Yes,4,2,2,0.2725641648825519, Low Risk,13968,No
286,Research & Development,Laboratory Technician,2153,No,8,4,3,0.13975844390546488, Low Risk,12918,No
287,Research & Development,Healthcare Representative,4876,No,3,4,1,0.06588678337646373, Low Risk,29256,No
288,Research & Development,Healthcare Representative,9396,No,4,1,3,0.06531808775502816, Low Risk,56376,No
291,Sales,Sales Executive,10400,No,14,4,2,0.6062727870498464, High Risk,62400,Yes
292,Research & Development,Manufacturing Director,8474,No,11,3,3,0.07575853777181149, Low Risk,50844,No
293,Sales,Sales Executive,9981,No,7,3,3,0.1174002483004712, Low Risk,59886,No
296,Research & Development,Research Director,12490,No,10,2,1,0.037230646323897394, Low Risk,74940,No
297,Research & Development,Research Scientist,2657,Yes,5,1,3,0.6955925471506207, High Risk,15942,Yes
298,Sales,Manager,13591,Yes,1,4,3,0.11083649569695965, Low Risk,81546,No
299,Sales,Sales Executive,6696,No,6,1,2,0.72127668745415, High Risk,40176,Yes
300,Research & Development,Research Scientist,2058,No,6,3,2,0.1601839748068331, Low Risk,12348,Yes
302,Sales,Sales Executive,8865,No,19,4,3,0.09349355332722772, Low Risk,53190,No
303,Sales,Sales Executive,5940,No,6,1,3,0.08449815484880137, Low Risk,35640,No
304,Research & Development,Laboratory Technician,5914,No,13,2,4,0.052394375369967744, Low Risk,35484,No
305,Research & Development,Research Scientist,2622,No,3,2,3,0.24124271614269321, Low Risk,15732,No
306,Research & Development,Research Director,12185,Yes,10,4,3,0.09920399973072663, Low Risk,73110,No
307,Sales,Sales Executive,10609,No,16,3,2,0.08790724364473997, Low Risk,63654,No
308,Research & Development,Manufacturing Director,4345,No,5,3,3,0.04905894730883203, Low Risk,26070,No
309,Research & Development,Research Scientist,2177,No,1,4,3,0.23804545556968734, Low Risk,13062,No
311,Sales,Sales Representative,2793,No,9,4,3,0.08636797792836438, Low Risk,16758,No
312,Sales,Sales Executive,7918,No,11,4,3,0.10638562341746352, Low Risk,47508,No
314,Sales,Sales Executive,8789,No,10,3,4,0.11736199531897165, Low Risk,52734,No
315,Research & Development,Research Scientist,2389,Yes,4,4,2,0.4494457709298261, Medium Risk,14334,Yes
316,Research & Development,Laboratory Technician,3212,No,2,4,2,0.10809483822779092, Low Risk,19272,No
319,Research & Development,Manager,19232,No,22,4,3,0.06652008306346141, Low Risk,115392,No
321,Human Resources,Human Resources,2267,No,2,3,2,0.18789969460328515, Low Risk,13602,No
323,Sales,Manager,19517,No,7,4,2,0.06060265048299517, Low Risk,117102,No
325,Research & Development,Laboratory Technician,2436,Yes,5,4,1,0.7029392279639002, High Risk,14616,Yes
327,Sales,Manager,16064,Yes,17,4,3,0.043419172923281256, Low Risk,96384,No
328,Research & Development,Laboratory Technician,2707,No,9,1,4,0.6580364469778058, High Risk,16242,Yes
329,Sales,Manager,19068,Yes,33,3,4,0.13749188874654567, Low Risk,114408,No
330,Sales,Sales Representative,3931,No,4,2,3,0.15602052057120327, Low Risk,23586,No
331,Research & Development,Laboratory Technician,3730,Yes,3,3,1,0.30227236929121165, Medium Risk,22380,Yes
332,Research & Development,Laboratory Technician,2232,No,3,3,3,0.1150956138501959, Low Risk,13392,No
333,Sales,Sales Executive,4465,No,3,4,3,0.1819781537898981, Low Risk,26790,No
334,Research & Development,Research Scientist,3072,No,1,1,2,0.2258920475608363, Low Risk,18432,No
335,Research & Development,Research Scientist,3319,No,9,4,3,0.06133649115032973, Low Risk,19914,No
336,Research & Development,Manager,19202,No,24,4,3,0.035037968559892704, Low Risk,115212,No
337,Research & Development,Research Director,13675,No,2,3,3,0.15802884392269523, Low Risk,82050,No
338,Research & Development,Research Scientist,2911,No,2,4,2,0.1643739545858091, Low Risk,17466,No
339,Research & Development,Manufacturing Director,5957,No,11,1,3,0.06858788314159175, Low Risk,35742,No
340,Research & Development,Research Scientist,3920,No,3,1,2,0.055700798712562935, Low Risk,23520,No
341,Research & Development,Manufacturing Director,6434,No,3,3,3,0.04161852015590708, Low Risk,38604,No
342,Research & Development,Manufacturing Director,10048,No,1,3,3,0.663343516777037, High Risk,60288,Yes
343,Research & Development,Healthcare Representative,10938,No,19,3,3,0.04539125460220352, Low Risk,65628,No
346,Research & Development,Research Scientist,2340,No,6,4,3,0.08786512752965264, Low Risk,14040,No
347,Research & Development,Research Scientist,6545,Yes,3,1,3,0.17547885595155865, Low Risk,39270,No
349,Sales,Sales Executive,6931,No,3,4,3,0.07893445843985618, Low Risk,41586,No
350,Research & Development,Manufacturing Director,4898,No,4,3,3,0.051830216092386125, Low Risk,29388,No
351,Research & Development,Laboratory Technician,2593,Yes,9,1,3,0.1207931067436247, Low Risk,15558,No
352,Research & Development,Research Director,19436,No,21,3,3,0.0504032451912979, Low Risk,116616,No
353,Research & Development,Research Scientist,2723,No,1,4,2,0.1749575730746475, Low Risk,16338,No
355,Research & Development,Laboratory Technician,3479,No,5,2,4,0.6487769828626695, High Risk,20874,Yes
359,Research & Development,Laboratory Technician,2794,No,5,2,1,0.2013625516249931, Low Risk,16764,No
361,Sales,Sales Executive,5249,No,8,4,3,0.09881555322320637, Low Risk,31494,No
362,Research & Development,Laboratory Technician,2176,No,6,1,3,0.16004685040281025, Low Risk,13056,No
363,Sales,Manager,16872,Yes,7,2,2,0.0967339920104095, Low Risk,101232,No
364,Research & Development,Laboratory Technician,3485,No,0,3,1,0.7788053621327875, High Risk,20910,Yes
366,Sales,Sales Executive,6644,No,0,2,3,0.1827862198136182, Low Risk,39864,No
367,Research & Development,Healthcare Representative,5582,No,9,4,3,0.05903632496568096, Low Risk,33492,No
369,Research & Development,Healthcare Representative,4000,No,6,1,3,0.04115226055344524, Low Risk,24000,No
372,Research & Development,Healthcare Representative,13496,Yes,20,4,3,0.0653432908850664, Low Risk,80976,No
373,Research & Development,Laboratory Technician,3210,No,15,4,3,0.07714535160872935, Low Risk,19260,No
374,Research & Development,Manager,19045,Yes,36,1,3,0.09782141062284479, Low Risk,114270,No
376,Research & Development,Manager,11849,Yes,10,2,2,0.6088276714133596, High Risk,71094,Yes
377,Research & Development,Research Scientist,2070,No,5,4,2,0.06859010959443801, Low Risk,12420,No
378,Sales,Sales Executive,6502,No,5,4,4,0.07626468226712674, Low Risk,39012,No
379,Research & Development,Research Scientist,3230,No,3,3,4,0.3038847370317912, Medium Risk,19380,No
380,Research & Development,Research Director,13603,Yes,5,4,3,0.0738259449562947, Low Risk,81618,No
381,Research & Development,Manager,11996,No,7,2,2,0.030366272674003048, Low Risk,71976,No
382,Sales,Sales Executive,5605,Yes,8,1,3,0.09058614840579729, Low Risk,33630,No
384,Research & Development,Manufacturing Director,6397,No,6,2,1,0.04349052269975809, Low Risk,38382,No
385,Research & Development,Research Director,19144,No,10,2,2,0.035760664222348894, Low Risk,114864,No
386,Research & Development,Research Director,17584,Yes,5,3,2,0.04804215285383393, Low Risk,105504,No
387,Sales,Sales Executive,4907,No,20,3,3,0.11013727637310637, Low Risk,29442,No
388,Sales,Sales Executive,4554,No,10,4,2,0.11022037111091067, Low Risk,27324,No
389,Research & Development,Laboratory Technician,5415,Yes,10,4,3,0.10591675811779966, Low Risk,32490,No
390,Research & Development,Healthcare Representative,4741,Yes,5,1,3,0.15602109426926516, Low Risk,28446,No
391,Research & Development,Research Scientist,2115,No,17,4,3,0.12482990205023838, Low Risk,12690,No
392,Research & Development,Laboratory Technician,3161,Yes,1,3,1,0.6600161635026899, High Risk,18966,Yes
393,Research & Development,Healthcare Representative,5745,No,2,4,3,0.08058911020015191, Low Risk,34470,No
394,Research & Development,Laboratory Technician,2373,Yes,3,2,3,0.7283948130782478, High Risk,14238,Yes
395,Research & Development,Research Scientist,3310,No,5,4,3,0.0897070915873476, Low Risk,19860,No
396,Research & Development,Research Director,18665,Yes,3,1,3,0.12794848991089441, Low Risk,111990,No
397,Research & Development,Research Scientist,4485,No,8,2,3,0.12565185938844162, Low Risk,26910,No
399,Sales,Sales Representative,2789,No,2,2,2,0.21593790204274055, Low Risk,16734,No
401,Sales,Sales Executive,5828,Yes,8,4,3,0.382717933898353, Medium Risk,34968,Yes
403,Research & Development,Research Scientist,2326,Yes,4,4,2,0.21691417847295114, Low Risk,13956,No
404,Sales,Sales Executive,13525,No,20,2,4,0.09262711609321346, Low Risk,81150,No
